,tsne_x,tsne_y,labels,names
0,-10.877405,18.721737,1,mtp_01_a04
1,-0.5657139,11.486383,1,mtp_01_a10
2,-26.48947,48.08424,0,mtp_01_a11
3,-14.172675,9.666566,1,mtp_01_a12
4,-12.005684,13.939951,1,mtp_01_b02
5,21.080202,-33.11868,1,mtp_01_b03
6,-9.012104,17.382551,1,mtp_01_b04
7,-24.672802,44.184734,0,mtp_01_b05
8,-20.368475,30.301373,0,mtp_01_b06
9,-21.94351,34.338966,0,mtp_01_b07
10,5.4619575,-12.630078,1,mtp_01_b09
11,-4.8205223,14.601748,1,mtp_01_b10
12,7.514648,2.646775,1,mtp_01_b11
13,-23.709179,33.88704,0,mtp_01_b12
14,9.28471,-24.706596,1,mtp_01_c02
15,-5.25592,1.6887764,1,mtp_01_c04
16,-23.75976,43.344185,0,mtp_01_c05
17,5.7148576,-24.911211,1,mtp_01_c06
18,-11.85679,4.6868086,1,mtp_01_c07
19,8.811738,-24.090061,1,mtp_01_c08
20,1.6508403,-22.850342,1,mtp_01_c10
21,-14.223051,27.078302,1,mtp_01_c11
22,14.049369,-27.728413,1,mtp_01_c12
23,-6.644582,-3.639061,1,mtp_01_d03
24,-8.439917,6.0382686,1,mtp_01_d04
25,-10.141521,19.493649,1,mtp_01_d05
26,8.777363,-3.481653,1,mtp_01_d07
27,-0.009004623,8.605106,1,mtp_01_d09
28,-24.18807,44.343285,0,mtp_01_d10
29,-1.4003342,10.699065,1,mtp_01_d11
30,4.5041523,-4.8848057,1,mtp_01_d12
31,-21.505018,30.533466,0,mtp_01_e02
32,-13.495149,22.952808,1,mtp_01_e03
33,18.58465,-30.790861,1,mtp_01_e04
34,3.2821512,-2.7376397,1,mtp_01_e06
35,11.942749,-31.009098,1,mtp_01_e08
36,-18.332836,28.499668,1,mtp_01_e10
37,-16.509245,17.10224,1,mtp_01_f03
38,7.719569,-25.6413,1,mtp_01_f04
39,-25.011171,43.135826,0,mtp_01_f08
40,-26.10079,50.924595,0,mtp_01_f09
41,5.212356,-10.109345,1,mtp_01_f10
42,4.0022473,8.175263,1,mtp_01_f11
43,6.9335084,-24.25612,1,mtp_01_f12
44,-7.658311,17.034801,1,mtp_01_g02
45,3.7768939,-14.987783,1,mtp_01_g03
46,-25.715374,32.991627,0,mtp_01_g04
47,11.52808,-29.92646,1,mtp_01_g05
48,-18.092073,26.70471,1,mtp_01_g06
49,-17.677557,13.475328,1,mtp_01_g07
50,-11.092171,15.189156,1,mtp_01_g08
51,-2.2640371,-1.6207912,1,mtp_01_g09
52,11.412257,-17.929016,1,mtp_01_g10
53,7.62286,2.3416183,1,mtp_01_g11
54,2.197969,-30.93072,1,mtp_01_g12
55,18.754522,-35.32204,1,mtp_01_h02
56,-18.89682,15.487101,1,mtp_01_h03
57,17.538082,-24.752596,1,mtp_01_h04
58,-21.576822,32.0439,0,mtp_01_h06
59,-27.18425,48.98606,0,mtp_01_h07
60,6.0345507,3.5396554,1,mtp_01_h08
61,-17.8269,27.907225,1,mtp_01_h09
62,2.697665,7.7448525,1,mtp_01_h10
63,11.948854,-18.665724,1,mtp_01_h11
64,5.606396,-6.8138003,1,mtp_01_h12
65,-22.977747,45.35735,0,mtp_02_a03
66,-24.008556,46.478176,0,mtp_02_a04
67,-23.974861,47.5388,0,mtp_02_a05
68,5.217032,-7.806404,1,mtp_02_a06
69,-24.037054,40.72365,0,mtp_02_a08
70,-5.9689817,3.6002429,1,mtp_02_a09
71,-1.1830688,12.393366,1,mtp_02_a10
72,-23.813967,39.905556,0,mtp_02_a11
73,-24.89692,34.926834,0,mtp_02_a12
74,-25.54135,47.65319,0,mtp_02_b02
75,-24.258057,46.90025,0,mtp_02_b03
76,-24.469799,45.507843,0,mtp_02_b04
77,-24.019522,45.80943,0,mtp_02_b05
78,-18.446955,27.418922,1,mtp_02_b06
79,5.0967164,-14.409988,1,mtp_02_b07
80,-24.266699,41.341965,0,mtp_02_b08
81,-19.452585,22.891724,1,mtp_02_b09
82,-8.909785,13.067014,1,mtp_02_b10
83,8.118925,-0.781866,1,mtp_02_b11
84,-26.413147,43.925224,0,mtp_02_b12
85,-25.156767,47.69015,0,mtp_02_c02
86,-23.062252,46.98118,0,mtp_02_c03
87,-24.71058,46.390343,0,mtp_02_c04
88,-25.735209,50.346245,0,mtp_02_c05
89,-3.3731039,12.739423,1,mtp_02_c06
90,11.367406,-1.9464278,1,mtp_02_c07
91,-5.3980784,15.349264,1,mtp_02_c08
92,8.881103,-14.396968,1,mtp_02_c09
93,-18.62416,25.920815,1,mtp_02_c11
94,-18.892769,21.708635,1,mtp_02_c12
95,-24.77022,46.655586,0,mtp_02_d02
96,-25.367702,50.310158,0,mtp_02_d03
97,-25.430174,46.051403,0,mtp_02_d04
98,-23.962791,48.01719,0,mtp_02_d05
99,-9.248379,17.826641,1,mtp_02_d07
100,-17.691854,12.562234,1,mtp_02_d08
101,6.2671485,-12.460841,1,mtp_02_d09
102,6.163843,-19.593664,1,mtp_02_d10
103,-22.940039,35.565582,0,mtp_02_d11
104,-19.991545,34.604385,0,mtp_02_d12
105,-24.313934,47.262302,0,mtp_02_e02
106,-23.396759,47.549053,0,mtp_02_e03
107,-23.092476,46.409554,0,mtp_02_e04
108,-23.60868,46.957256,0,mtp_02_e05
109,6.454791,-10.088232,1,mtp_02_e08
110,-23.283398,31.816355,0,mtp_02_e09
111,4.922666,-21.792578,1,mtp_02_e11
112,5.2823586,-0.10999015,1,mtp_02_e12
113,-23.627998,46.1626,0,mtp_02_f02
114,-25.907907,47.007633,0,mtp_02_f03
115,-26.164408,49.544533,0,mtp_02_f04
116,8.24698,-15.055387,1,mtp_02_f05
117,1.5274216,-2.0197117,1,mtp_02_f07
118,5.704271,-21.059822,1,mtp_02_f08
119,3.554113,-8.548815,1,mtp_02_f10
120,11.083009,-17.948082,1,mtp_02_f12
121,-25.166853,49.262203,0,mtp_02_g02
122,-24.741083,48.05467,0,mtp_02_g03
123,-25.055794,47.101887,0,mtp_02_g04
124,18.047293,-34.291565,1,mtp_02_g05
125,-8.958945,1.4178001,1,mtp_02_g07
126,18.387348,-30.852383,1,mtp_02_g08
127,15.833323,-24.058788,1,mtp_02_g09
128,-2.3868032,12.367579,1,mtp_02_g10
129,-24.41545,32.140472,0,mtp_02_g11
130,-14.161976,9.842245,1,mtp_02_g12
131,-22.883528,45.85193,0,mtp_02_h02
132,-25.555012,49.62221,0,mtp_02_h03
133,-25.009298,45.57697,0,mtp_02_h04
134,-14.875466,24.088808,1,mtp_02_h05
135,5.095359,-15.628792,1,mtp_02_h06
136,13.737902,-30.124441,1,mtp_02_h07
137,13.481932,-29.273453,1,mtp_02_h08
138,-18.54862,28.069628,1,mtp_02_h10
139,-16.116426,28.47668,1,mtp_02_h11
140,-12.968429,26.954308,1,mtp_02_h12
141,-17.580526,26.128971,1,mtp_03_a02
142,-10.725234,21.078848,1,mtp_03_a03
143,-22.864449,36.57896,0,mtp_03_a04
144,-16.01408,15.466522,1,mtp_03_a05
145,-17.995815,17.390512,1,mtp_03_a06
146,15.035729,-33.715694,1,mtp_03_a09
147,8.601034,-22.28773,1,mtp_03_a10
148,-2.9813616,-0.45543867,1,mtp_03_a12
149,5.413726,6.440147,1,mtp_03_b02
150,-12.901104,18.279835,1,mtp_03_b03
151,-15.307537,22.293432,1,mtp_03_b04
152,9.167884,-25.8779,1,mtp_03_b05
153,-18.866308,28.76174,0,mtp_03_b06
154,7.1039343,-19.58976,1,mtp_03_b08
155,11.905902,-30.394224,1,mtp_03_b09
156,-9.82939,18.26996,1,mtp_03_b10
157,-11.27546,16.793018,1,mtp_03_b11
158,5.298404,-23.747562,1,mtp_03_b12
159,15.803726,-23.949661,1,mtp_03_c05
160,-14.143902,13.127119,1,mtp_03_c07
161,1.8438284,-29.920847,1,mtp_03_c11
162,-11.110954,15.831661,1,mtp_03_c12
163,5.2680655,-0.31676853,1,mtp_03_d02
164,5.8654284,-21.129896,1,mtp_03_d03
165,5.4059963,-13.372542,1,mtp_03_d05
166,21.957874,-14.626583,1,mtp_03_d06
167,-12.411347,17.392355,1,mtp_03_d09
168,1.766001,-29.789248,1,mtp_03_d11
169,20.163364,-18.17458,1,mtp_03_d12
170,15.49686,-1.2693532,1,mtp_03_e05
171,5.091723,-10.908802,1,mtp_03_e07
172,5.7656794,1.0735621,1,mtp_03_e09
173,11.802032,-29.408657,1,mtp_03_e10
174,-1.4204665,-2.72995,1,mtp_03_e11
175,6.1289663,4.817298,1,mtp_03_e12
176,10.779504,-17.667633,1,mtp_03_f02
177,-12.221189,12.444972,1,mtp_03_f05
178,21.182966,-32.78979,1,mtp_03_f07
179,-17.442038,22.898314,1,mtp_03_f09
180,14.262219,-27.039457,1,mtp_03_f10
181,0.94365764,-4.831515,1,mtp_03_f11
182,14.774112,-24.742867,1,mtp_03_g02
183,-21.658932,32.24794,0,mtp_03_g03
184,-12.354985,12.596845,1,mtp_03_g05
185,5.6298957,-8.212548,1,mtp_03_g07
186,6.5026746,-17.265951,1,mtp_03_g08
187,5.9228044,2.1126535,1,mtp_03_g09
188,-21.382793,26.368275,1,mtp_03_g10
189,-12.685,26.92787,1,mtp_03_h02
190,6.6171947,-7.988641,1,mtp_03_h03
191,23.142042,-15.985936,1,mtp_03_h04
192,-20.986818,33.072166,0,mtp_03_h05
193,18.696115,-32.210686,1,mtp_03_h08
194,-12.210019,-0.12433367,1,mtp_04_a02
195,-11.4570265,-0.5639549,1,mtp_04_a03
196,-0.99264276,-8.637765,1,mtp_04_a04
197,0.5770333,6.0492945,1,mtp_04_a05
198,8.357257,-18.560045,1,mtp_04_a06
199,-24.10772,33.38759,0,mtp_04_a11
