,tsne_x,tsne_y,labels,names
0,5.017945,-23.011333,1,mtp_01_a04
1,2.2422469,-10.141148,1,mtp_01_a10
2,8.612489,-57.035652,0,mtp_01_a11
3,-6.107105,-18.926004,1,mtp_01_a12
4,0.55371225,-19.697407,1,mtp_01_b02
5,-4.6282907,43.51858,1,mtp_01_b03
6,5.240681,-20.746769,1,mtp_01_b04
7,8.693512,-52.64238,0,mtp_01_b05
8,3.708261,-37.62353,0,mtp_01_b06
9,5.7508993,-42.47372,0,mtp_01_b07
10,-2.1355908,14.716075,1,mtp_01_b09
11,4.029073,-15.519731,1,mtp_01_b10
12,-1.4474852,0.86068046,1,mtp_01_b11
13,4.688945,-42.83393,0,mtp_01_b12
14,-6.720815,26.673128,1,mtp_01_c02
15,7.83524,-0.03904848,1,mtp_01_c04
16,9.163909,-51.44339,0,mtp_01_c05
17,-3.1335802,27.034246,1,mtp_01_c06
18,10.506553,-5.958089,1,mtp_01_c07
19,-6.3903127,25.951408,1,mtp_01_c08
20,0.45988736,26.643124,1,mtp_01_c10
21,0.18691249,-33.932106,1,mtp_01_c11
22,-4.066938,33.820858,1,mtp_01_c12
23,12.42037,2.7609742,1,mtp_01_d03
24,8.732736,-7.5395575,1,mtp_01_d04
25,6.1958747,-23.264322,1,mtp_01_d05
26,-5.0829363,7.688047,1,mtp_01_d07
27,3.8956025,-6.8944664,1,mtp_01_d09
28,9.236793,-52.615303,0,mtp_01_d10
29,3.813107,-9.469531,1,mtp_01_d11
30,1.8494456,7.6193457,1,mtp_01_d12
31,3.455414,-38.715755,0,mtp_01_e02
32,6.179934,-28.762419,1,mtp_01_e03
33,-2.8865817,38.489044,1,mtp_01_e04
34,3.2757475,5.2376657,1,mtp_01_e06
35,-7.509469,34.155457,1,mtp_01_e08
36,5.117273,-35.83193,1,mtp_01_e10
37,0.20487133,-25.562546,1,mtp_01_f03
38,-4.406952,27.797844,1,mtp_01_f04
39,8.008908,-51.608047,0,mtp_01_f08
40,11.020969,-59.31495,0,mtp_01_f09
41,-1.7552476,12.063723,1,mtp_01_f10
42,0.23453176,-4.534054,1,mtp_01_f11
