,tsne_x,tsne_y,labels,names
0,1.2830708,-23.706442,2,mtp_01_a04
1,-17.701468,-11.461928,0,mtp_01_a10
2,26.74323,-30.634893,1,mtp_01_a11
3,3.0101454,3.0472987,0,mtp_01_a12
4,2.393172,-19.370226,2,mtp_01_b02
5,11.52457,27.755362,0,mtp_01_b03
6,-0.5802014,-23.085142,2,mtp_01_b04
7,24.427763,-31.300978,1,mtp_01_b05
8,12.061718,-25.250319,2,mtp_01_b06
9,13.465374,-24.510117,2,mtp_01_b07
10,-9.30784,19.421589,0,mtp_01_b09
11,-2.5049658,-22.480715,2,mtp_01_b10
12,-19.416761,3.5019202,0,mtp_01_b11
13,19.345156,-31.511896,1,mtp_01_b12
14,-0.44510219,26.102314,0,mtp_01_c02
15,-10.455502,-5.0792856,0,mtp_01_c04
16,22.609417,-31.149137,1,mtp_01_c05
17,-0.7389842,28.739952,0,mtp_01_c06
18,9.39413,6.730793,0,mtp_01_c07
19,-0.72754204,26.309172,0,mtp_01_c08
20,2.210523,33.922646,0,mtp_01_c10
21,4.2023897,0.7220193,0,mtp_01_c11
22,5.3840175,35.37191,0,mtp_01_c12
23,-15.808283,-3.3564403,0,mtp_01_d03
24,-9.658442,9.560603,0,mtp_01_d04
25,1.530044,-23.326963,2,mtp_01_d05
26,-11.902741,-0.38394147,0,mtp_01_d07
27,-9.901952,-17.413574,0,mtp_01_d09
28,24.06299,-31.919416,1,mtp_01_d10
29,-3.7649934,-22.752855,2,mtp_01_d11
30,-13.536748,-18.17389,0,mtp_01_d12
31,12.404246,-5.22493,2,mtp_01_e02
32,-1.8380287,-19.384562,2,mtp_01_e03
33,6.615844,14.213448,0,mtp_01_e04
34,-8.881721,21.289122,0,mtp_01_e06
35,4.6784854,30.969437,0,mtp_01_e08
36,10.02831,-26.13922,2,mtp_01_e10
37,2.0258586,-16.425756,2,mtp_01_f03
38,-0.89589053,27.527662,0,mtp_01_f04
39,25.207638,-30.998041,1,mtp_01_f08
40,31.419342,-34.776646,1,mtp_01_f09
41,-18.1071,9.275392,0,mtp_01_f10
42,-18.391489,-10.011362,0,mtp_01_f11
43,-2.7504408,24.31951,0,mtp_01_f12
44,-4.6949697,-18.130337,2,mtp_01_g02
45,-16.233196,6.8922615,0,mtp_01_g03
46,11.424665,-6.5155926,2,mtp_01_g04
47,4.7925014,31.599485,0,mtp_01_g05
48,10.484835,-27.324636,2,mtp_01_g06
49,12.549519,0.925373,0,mtp_01_g07
50,-2.433789,-16.335888,2,mtp_01_g08
51,-9.219435,-23.695755,2,mtp_01_g09
52,-3.616103,22.235607,0,mtp_01_g10
53,-15.60187,-13.306456,0,mtp_01_g11
54,8.530322,12.803613,0,mtp_01_g12
55,10.558015,33.38115,0,mtp_01_h02
56,12.716349,-0.1922828,0,mtp_01_h03
