,tsne_x,tsne_y,labels,names
0,-22.119217,0.94926304,0,16210300201_A10
1,-12.317685,11.808171,0,16210300201_A11
2,-7.00565,11.655358,0,16210300201_A12
3,-12.971699,-3.2703001,0,16210300201_A02
4,-21.758438,3.6061273,0,16210300201_A03
5,-13.570528,11.319402,0,16210300201_A04
6,-7.1201634,10.263521,0,16210300201_A05
7,-14.704799,8.809231,0,16210300201_A06
8,-12.024069,-6.630565,0,16210300201_A08
9,-19.73981,-3.6001983,0,16210300201_B12
10,-15.689656,-13.630999,0,16210300201_B02
11,-21.369371,-0.806769,0,16210300201_B03
12,-22.057848,2.7510552,0,16210300201_B05
13,-19.921545,4.9044614,0,16210300201_B06
14,-14.956092,-9.218906,0,16210300201_C10
15,7.723404,23.8499,0,16210300201_C02
16,-20.89242,6.273,0,16210300201_C05
17,-14.215047,15.989561,0,16210300201_C06
18,-20.868652,5.634919,0,16210300201_C09
19,-14.44652,-4.226632,0,16210300201_D10
20,-13.612245,18.952553,0,16210300201_D02
21,-7.912413,6.166516,0,16210300201_D03
22,-15.610296,-4.842228,0,16210300201_D05
23,-19.156265,10.525759,0,16210300201_D06
24,12.234852,22.090927,0,16210300201_D07
25,-16.477598,-5.996135,0,16210300201_E10
26,-22.35124,0.13409856,0,16210300201_E11
27,-23.681225,-0.081552796,0,16210300201_E12
28,-15.947639,16.720272,0,16210300201_E02
29,-16.74072,5.504738,0,16210300201_E04
30,-15.189677,-5.240551,0,16210300201_E05
31,-6.7776976,20.841415,0,16210300201_E07
32,-16.621845,5.1601806,0,16210300201_E08
33,-24.3572,5.249336,0,16210300201_F11
34,-20.493637,3.2837696,0,16210300201_F04
35,-16.399942,6.93243,0,16210300201_F05
36,-7.810821,4.63306,0,16210300201_G11
37,-18.899368,14.707327,0,16210300201_G02
38,-17.097027,-6.484791,0,16210300201_G04
39,23.965067,18.025715,0,16210300201_G06
40,-14.401983,9.708246,0,16210300201_G08
41,-12.354762,-16.50179,0,16210300201_G09
42,-8.378204,6.291038,0,16210300201_H10
43,-12.47681,12.177868,0,16210300201_H11
44,-19.347017,9.766782,0,16210300201_H12
45,-24.07485,4.56454,0,16210300201_H03
46,-19.978903,2.4560099,0,16210300201_H04
47,-2.9057364,22.590868,0,16210300201_H06
48,-7.3536463,6.7125177,0,16210300201_H08
49,-6.972749,4.962789,0,16210300201_H09
50,-15.393569,-4.698638,0,16210300202_A03
51,-6.8005924,-20.201538,2,16210300202_A05
52,25.023111,-3.65297,0,16210300202_A06
53,0.5709699,-31.707987,2,16210300202_B02
54,-4.7070017,-25.290615,2,16210300202_B04
55,-10.958789,-18.040201,2,16210300202_B05
56,-5.8294983,-20.704437,2,16210300202_B06
57,-3.1116252,-28.409845,2,16210300202_C02
58,-3.1233313,-20.551458,2,16210300202_C03
59,-14.885716,-15.375291,0,16210300202_C04
60,-8.234801,-22.608173,2,16210300202_C05
61,-8.94651,-7.9187684,0,16210300202_C06
62,5.0616426,24.287392,0,16210300202_D02
63,7.4873385,19.126598,0,16210300202_D03
64,-6.663231,-22.176851,2,16210300202_D04
65,-3.8570333,-32.033062,2,16210300202_D05
66,-0.5914464,-34.46448,2,16210300202_D06
67,0.26993975,-36.979706,2,16210300202_E02
68,-6.378245,20.995914,0,16210300202_E03
69,-7.31549,-23.918085,2,16210300202_E04
70,-1.5288137,-30.143736,2,16210300202_E06
