,tsne_x,tsne_y,labels,names
0,-24.138096,3.4066303,2,mtp_01_a04
1,-13.803902,-16.992666,0,mtp_01_a10
2,-28.401194,29.596151,1,mtp_01_a11
3,10.4131975,2.7871943,0,mtp_01_a12
4,-19.095142,2.8552752,2,mtp_01_b02
5,37.19821,1.8510157,0,mtp_01_b03
6,-23.494442,1.4622272,2,mtp_01_b04
7,-29.490814,27.500223,1,mtp_01_b05
8,-24.930664,13.855497,2,mtp_01_b06
9,-24.190195,15.317799,2,mtp_01_b07
10,19.418398,-10.65821,0,mtp_01_b09
11,-22.901758,-0.6550484,2,mtp_01_b10
12,1.9347323,-20.92753,0,mtp_01_b11
13,-30.459951,22.361383,1,mtp_01_b12
14,28.537546,-1.648495,0,mtp_01_c02
15,-5.906785,-10.703522,0,mtp_01_c04
16,-29.579132,25.564268,1,mtp_01_c05
17,27.218319,0.61786216,0,mtp_01_c06
18,8.369393,8.868581,0,mtp_01_c07
19,28.183332,-1.6223245,0,mtp_01_c08
20,29.20466,5.947768,0,mtp_01_c10
21,3.750605,4.42957,0,mtp_01_c11
22,32.661415,8.592837,0,mtp_01_c12
23,-4.5284553,-15.438507,0,mtp_01_d03
24,9.409541,-9.048747,0,mtp_01_d04
25,-23.792011,3.9071627,2,mtp_01_d05
26,-1.2362846,-13.3027525,0,mtp_01_d07
27,-18.75047,-8.61714,0,mtp_01_d09
28,-30.127447,27.21558,1,mtp_01_d10
29,-23.336031,-1.9977312,2,mtp_01_d11
30,-19.587214,-12.447627,0,mtp_01_d12
31,-6.5811563,11.936665,2,mtp_01_e02
32,-21.498486,4.9451776,2,mtp_01_e03
33,16.010693,9.645594,0,mtp_01_e04
34,20.907906,-9.177841,0,mtp_01_e06
35,32.477978,4.266583,0,mtp_01_e08
36,-26.234716,12.229573,2,mtp_01_e10
37,-16.42229,2.2132664,2,mtp_01_f03
38,27.073814,-0.28245795,0,mtp_01_f04
39,-28.90875,28.008177,1,mtp_01_f08
40,-32.130634,34.87763,1,mtp_01_f09
41,7.503585,-18.762707,0,mtp_01_f10
42,-12.4362545,-17.845892,0,mtp_01_f11
43,24.215668,-2.942364,0,mtp_01_f12
44,-18.958393,-3.2332716,0,mtp_01_g02
45,5.428317,-16.606236,0,mtp_01_g03
46,-7.5297365,10.79983,2,mtp_01_g04
47,32.210785,4.8774505,0,mtp_01_g05
48,-27.292027,12.506601,2,mtp_01_g06
49,3.6035674,13.146514,0,mtp_01_g07
50,-17.08383,-1.317743,0,mtp_01_g08
51,-24.675222,-8.118193,0,mtp_01_g09
52,22.304522,-3.1320035,0,mtp_01_g10
53,-13.728914,-13.72521,0,mtp_01_g11
54,15.994882,7.632301,0,mtp_01_g12
55,37.600285,7.6939983,0,mtp_01_h02
56,2.3388264,13.303003,0,mtp_01_h03
57,14.069524,6.3745165,0,mtp_01_h04
58,-29.474014,19.128178,1,mtp_01_h06
59,-30.524794,34.024483,1,mtp_01_h07
60,-8.146442,-18.719126,0,mtp_01_h08
61,-24.503397,8.57265,2,mtp_01_h09
62,-1.2848096,-23.541502,0,mtp_01_h10
63,19.724838,-14.008171,0,mtp_01_h11
64,6.78408,-19.048782,0,mtp_01_h12
65,-31.300083,27.635288,1,mtp_02_a03
66,-31.573298,29.909266,1,mtp_02_a04
67,-31.925293,31.502378,1,mtp_02_a05
68,2.0374017,-19.044098,0,mtp_02_a06
69,-30.430422,23.65674,1,mtp_02_a08
70,-28.600777,2.9927893,2,mtp_02_a09
71,-16.624401,-8.314734,0,mtp_02_a10
72,-23.52826,16.315119,2,mtp_02_a11
73,-22.419025,18.50025,2,mtp_02_a12
74,-30.140629,31.687761,1,mtp_02_b02
75,-31.131676,30.505276,1,mtp_02_b03
76,-30.324501,29.916348,1,mtp_02_b04
77,-30.370699,28.781807,1,mtp_02_b05
78,-27.250134,13.305983,2,mtp_02_b06
79,4.585904,-17.91821,0,mtp_02_b07
80,-28.519949,32.289864,1,mtp_02_b08
81,1.8453615,7.683467,0,mtp_02_b09
82,-3.3072188,8.506701,0,mtp_02_b10
83,4.6278143,-4.041089,0,mtp_02_b11
84,-24.406586,21.898596,1,mtp_02_b12
85,-30.777246,32.118614,1,mtp_02_c02
86,-32.050995,29.456944,1,mtp_02_c03
87,-30.585817,30.742716,1,mtp_02_c04
88,-32.285366,34.22336,1,mtp_02_c05
89,9.823847,-9.824946,0,mtp_02_c06
90,1.9518981,-12.84062,0,mtp_02_c07
91,-15.451337,-5.401801,0,mtp_02_c08
92,20.165705,-12.902867,0,mtp_02_c09
93,-9.38846,10.4077215,2,mtp_02_c11
94,-16.953527,4.7095513,2,mtp_02_c12
95,-31.875063,30.554405,1,mtp_02_d02
96,-31.091152,34.66475,1,mtp_02_d03
97,-29.924372,30.51453,1,mtp_02_d04
98,-31.01745,29.799252,1,mtp_02_d05
99,-21.037935,1.0581454,2,mtp_02_d07
100,3.9591603,13.460236,0,mtp_02_d08
101,3.965393,-18.449356,0,mtp_02_d09
102,10.319865,-14.737843,0,mtp_02_d10
